10 1
3 2 4
4 2 13
3 1 23
3 1 151
7 5 197
6 3 334
0 6 364
0 5 369
6 1 486
0 9 503
5 3 531
6 4 545
6 2 571
0 1 648
0 6 686
9 6 745
3 1 795
5 4 824
5 2 843
4 3 883
0 8 919
0 4 961
6 3 966
9 3 978
0 7 991
8 6 1002
0 8 1007
5 1 1010
0 3 1065
9 6 1066
8 5 1095
3 2 1118
0 1 1215
5 1 1279
0 6 1293
5 4 1410
0 6 1511
0 6 1519
0 5 1540
9 8 1567
0 7 1649
7 5 1666
6 4 1778
0 6 1788
8 5 1816
0 6 1837
0 7 1850
0 3 1862
7 4 1904
0 4 1932
0 7 1962
0 5 1965
4 3 1972
7 5 2050
0 8 2064
5 1 2147
9 8 2263
0 3 2285
8 7 2305
0 9 2346
6 4 2365
3 2 2399
7 1 2405
5 3 2411
0 7 2479
0 9 2488
9 6 2496
0 2 2526
0 7 2534
0 1 2555
0 1 2578
0 6 2603
6 4 2614
0 4 2634
0 5 2658
6 1 2686
6 3 2823
8 6 2829
4 1 2886
6 3 2896
0 7 2921
6 1 2961
0 5 2964
9 4 2985
0 2 3045
9 5 3092
5 1 3112
9 2 3197
8 2 3205
9 8 3226
0 1 3351
0 6 3381
0 5 3415
0 9 3421
9 5 3489
0 9 3563
9 8 3610
6 5 3633
0 3 3662
0 2 3702
0 1 3706
9 8 3736
9 6 3762
0 1 3832
0 9 3933
0 8 3969
8 3 4024
0 6 4027
6 4 4217
0 3 4297
6 1 4432
0 9 4447
0 9 4465
0 6 4492
9 7 4541
0 4 4558
0 2 4580
9 5 4590
7 5 4598
0 8 4684
0 4 4712
0 3 4795
0 3 4949
8 3 4970
7 4 4976
5 1 5025
0 3 5030
0 7 5074
4 3 5085
0 3 5110
6 1 5163
9 2 5189
5 2 5192
0 5 5306
7 5 5386
0 7 5402
3 2 5404
5 1 5430
0 4 5466
0 1 5473
8 3 5489
8 2 5499
0 6 5556
9 2 5745
0 2 5754
7 6 5789
0 8 5828
0 1 5856
0 1 5965
5 4 5971
0 5 5977
8 4 6006
0 9 6041
9 8 6066
5 4 6264
0 6 6323
0 7 6494
0 4 6506
7 4 6530
0 4 6587
0 2 6655
0 7 6718
3 2 6730
9 1 6744
9 3 6792
0 9 6794
0 5 6813
8 3 6832
0 5 6905
4 1 6943
0 3 6945
3 2 6970
0 4 7006
0 8 7044
4 2 7051
0 7 7100
0 6 7147
0 1 7197
4 1 7222
0 6 7272
2 1 7329
0 8 7370
2 1 7380
0 2 7414
5 2 7436
5 4 7442
7 2 7459
0 9 7575
0 6 7607
0 1 7612
8 7 7640
5 1 7675
4 3 7744
0 8 7770
0 8 7776
0 1 7823
0 7 7850
0 7 7946
5 1 7947
7 6 7971
0 3 7978
0 9 7992
0 4 8160
0 7 8319
0 4 8419
3 1 8420
8 5 8456
9 4 8482
4 3 8511
3 2 8527
8 2 8626
6 5 8645
0 1 8661
3 1 8714
0 3 8764
0 7 8796
0 1 8800
0 2 8842
7 4 8911
0 8 8924
8 2 8965
0 4 8971
7 6 8991
0 8 9073
2 1 9078
0 5 9084
0 7 9203
7 3 9262
2 1 9339
0 5 9437
0 1 9474
5 1 9574
0 7 9617
0 7 9633
0 2 9760
0 5 9826
6 5 9837
6 1 9891
0 8 10061
0 5 10106
0 5 10116
2 1 10133
0 4 10175
0 6 10181
6 4 10184
3 2 10195
0 4 10234
0 7 10256
0 6 10291
0 3 10303
5 4 10314
0 6 10342
0 7 10358
4 2 10424
0 3 10503
5 3 10512
0 3 10521
9 1 10534
5 2 10545
9 4 10572
7 5 10584
0 8 10626
0 1 10635
0 4 10683
5 4 10705
0 1 10945
0 2 10962
0 4 10989
5 2 11017
