7 1
5 4 171
5 1 212
3 1 390
4 3 509
0 2 606
0 3 694
0 2 700
0 5 745
2 1 872
0 3 933
0 3 1068
0 3 1122
0 1 1138
0 6 1199
0 2 1235
0 1 1255
5 3 1301
0 6 1320
5 3 1328
3 1 1350
0 2 1364
0 2 1432
3 2 1459
0 4 1491
4 1 1495
0 2 1546
0 3 1630
4 3 1705
4 2 1751
6 4 1938
3 1 2058
5 1 2123
0 5 2139
0 1 2166
3 2 2215
0 1 2239
0 2 2461
0 2 2646
0 2 2708
0 3 2713
0 4 2718
2 1 2850
2 1 2931
0 5 3068
3 2 3086
5 2 3203
3 1 3272
5 1 3536
0 1 3544
0 1 3646
0 1 3699
3 1 3711
0 4 3722
5 1 4006
2 1 4095
5 1 4106
0 4 4109
3 2 4219
0 5 4265
0 5 4418
0 3 4591
0 4 4593
0 1 4711
2 1 4749
6 1 5106
0 4 5158
0 6 5253
6 3 5284
0 4 5488
0 5 5797
2 1 5803
0 5 5816
0 3 5831
0 1 5898
0 1 5934
0 3 5938
0 6 6069
4 2 6321
6 1 6353
0 1 6515
4 1 6516
6 1 6533
0 3 6700
4 3 6791
0 2 6919
0 3 6946
5 2 7024
0 2 7037
0 4 7044
0 1 7141
6 1 7246
6 2 7470
0 1 7545
0 2 7841
5 3 7872
0 6 8090
0 5 8116
0 3 8193
0 1 8247
0 1 8351
4 1 8365
0 2 8477
4 1 8493
4 1 8627
5 3 8633
6 2 8767
2 1 8781
0 4 8796
2 1 8845
6 1 8926
0 2 8935
0 6 8987
0 3 9072
0 1 9074
6 2 9137
0 3 9176
0 3 9202
0 1 9337
3 2 9423
0 2 9462
0 2 9562
0 4 9598
0 4 9626
3 1 9644
4 1 9812
0 4 9884
6 2 9895
0 2 10060
5 3 10097
5 3 10205
0 3 10252
0 4 10557
6 5 10586
4 3 10715
2 1 10923
4 2 11046
0 1 11049
0 1 11060
0 2 11254
4 3 11292
0 1 11419
0 3 11490
0 6 11511
0 2 11523
5 3 11528
0 2 11579
0 1 11585
0 1 11662
6 2 11860
3 2 11900
0 1 12066
0 3 12338
0 1 12377
0 1 12427
0 5 12491
2 1 12552
0 6 12621
0 6 12654
0 2 12706
0 3 12746
0 3 12747
5 2 12751
0 6 12768
6 1 12783
4 1 12793
0 4 12800
0 1 12903
0 4 13057
0 1 13072
3 2 13127
0 4 13299
5 1 13496
0 1 13643
0 1 13644
0 4 13837
0 2 13883
6 5 13891
0 5 13958
2 1 14065
0 6 14075
0 3 14135
4 1 14228
0 4 14320
4 1 14403
0 1 14436
0 4 14513
3 2 14760
0 2 14819
0 6 14911
0 3 15233
0 3 15299
6 1 15306
5 3 15311
3 2 15350
5 3 15370
0 1 15375
3 1 15387
4 1 15522
0 5 15553
0 2 15557
0 6 15614
0 3 15639
5 2 15789
0 2 15824
0 5 15839
5 1 15912
0 4 15975
2 1 16047
0 1 16097
0 2 16280
0 2 16289
0 5 16306
4 2 16365
0 3 16523
6 5 16578
6 1 16740
0 1 16966
0 6 17410
6 2 17480
0 4 17501
0 5 17556
0 6 17619
4 2 17659
0 6 17666
0 3 17721
0 2 17809
3 1 17815
3 1 17846
3 2 17911
0 3 17974
0 5 18043
0 2 18056
4 3 18233
0 1 18326
0 1 18429
0 3 18445
0 2 18566
0 6 18571
4 2 18594
0 2 18610
0 5 18845
0 4 18931
0 6 19037
4 1 19060
0 1 19082
6 4 19265
6 3 19268
0 2 19294
0 3 19406
0 6 19623
3 2 19730
0 1 19746
5 4 19775
0 2 19791
5 4 19874
0 2 20021
0 4 20052
4 3 20168
0 4 20198
0 1 20300
4 1 20471
0 4 20501
0 3 20548
4 3 20600
0 1 20647
0 3 20729
0 3 20733
0 4 20776
3 2 20889
0 4 21007
0 6 21077
0 1 21144
0 3 21203
0 3 21221
0 1 21228
0 1 21237
0 3 21284
6 2 21305
0 4 21375
0 4 21418
0 2 21505
0 5 21521
4 3 21602
0 3 21710
3 1 21776
2 1 21849
0 4 21856
5 2 21871
0 6 22033
2 1 22041
0 1 22078
0 4 22308
0 6 22359
5 4 22369
0 3 22471
0 1 22633
0 4 22684
0 6 22748
0 4 23071
0 6 23158
6 5 23211
0 1 23255
0 5 23286
4 2 23307
0 4 23320
0 1 23333
0 4 23395
0 2 23484
0 4 23503
0 1 23556
0 5 23998
4 3 24194
0 3 24265
6 4 24274
5 2 24407
4 3 24444
2 1 24641
5 1 24819
0 6 24857
0 2 24900
0 2 24950
5 4 25021
0 5 25182
2 1 25234
0 1 25299
0 3 25533
0 5 25592
0 2 25716
0 1 25953
5 3 26145
0 4 26224
0 5 26244
0 3 26273
3 1 26293
0 1 26306
0 4 26370
0 6 26418
0 6 26431
0 4 26461
0 2 26643
0 3 26749
0 2 26753
4 2 26758
0 2 26831
3 1 26981
4 1 27194
0 3 27230
5 1 27424
0 1 27454
6 4 27485
0 3 27491
0 5 27698
0 6 27824
0 4 27912
0 4 27994
5 3 28029
6 2 28072
0 2 28210
0 2 28260
0 6 28268
5 3 28308
0 1 28448
0 5 28692
0 1 28759
0 6 28782
0 4 28822
0 5 29420
0 5 29446
0 3 29517
0 3 29553
2 1 29559
6 4 30045
0 4 30056
2 1 30071
0 1 30286
6 3 30407
0 2 30508
3 1 30583
6 5 30625
0 4 30629
0 6 30686
0 2 30765
0 3 30800
0 6 31038
0 6 31176
4 1 31277
0 3 31287
0 5 31426
0 3 31539
0 3 31544
0 5 31627
0 3 31861
0 4 31982
0 5 32117
5 3 32262
6 5 32506
0 2 32536
6 3 32632
0 2 33035
0 5 33071
4 3 33120
0 3 33182
0 4 33201
0 6 33304
4 1 33380
0 3 33382
6 4 33438
0 4 33632
0 2 33748
0 4 33916
0 1 33936
0 4 33942
0 4 34101
0 1 34186
0 5 34219
0 5 34418
0 4 34512
6 3 34562
3 1 34608
0 5 34818
0 3 34848
2 1 34896
0 2 35065
0 1 35095
0 5 35146
0 1 35194
0 3 35380
5 4 35391
0 6 35407
0 1 35518
0 6 35595
4 2 35826
5 2 35928
0 6 35962
4 1 35963
6 4 35996
0 5 36033
2 1 36248
6 3 36307
0 1 36489
0 6 36543
6 3 36706
0 3 36729
0 4 36862
0 1 37016
0 5 37051
0 4 37130
0 5 37168
0 4 37233
0 4 37235
3 1 37370
4 3 37535
4 1 37603
6 2 37617
0 3 37659
0 3 37757
0 5 37759
6 4 37821
0 2 37910
0 3 38006
3 1 38024
5 3 38047
4 2 38129
3 1 38275
0 1 38309
0 4 38575
4 1 38596
2 1 38701
0 4 38789
0 3 38858
0 4 39035
3 1 39036
0 5 39180
0 2 39357
0 5 39497
0 5 39577
3 1 39731
3 2 39932
0 2 39934
6 5 40000
0 6 40109
0 6 40135
0 2 40165
0 5 40207
0 2 40299
0 2 40412
3 1 40476
5 1 40598
0 3 40608
0 3 40666
0 6 40703
6 3 40842
0 6 40881
0 2 40923
0 2 40951
4 2 41031
2 1 41077
0 1 41208
2 1 41223
6 2 41346
0 2 41411
2 1 41424
6 5 41453
4 1 41473
0 3 41528
0 3 41638
0 4 41745
0 1 41783
0 6 41850
0 5 42018
6 5 42027
5 3 42056
4 3 42141
5 1 42318
0 1 42460
0 6 42462
2 1 42619
0 3 42627
0 4 42670
4 1 42680
0 4 43002
0 5 43024
0 2 43052
0 4 43142
4 3 43484
0 6 43521
0 6 43540
0 3 43551
5 1 43559
0 4 43639
0 4 43732
0 5 43733
0 6 43829
2 1 43913
0 1 43942
0 4 44183
6 2 44200
4 2 44206
0 3 44245
0 3 44279
4 3 44295
4 3 44298
5 2 44384
0 4 44391
0 3 44574
0 6 44616
0 4 44723
0 5 44727
2 1 44743
0 3 44774
6 3 44783
0 3 44843
0 5 44892
0 2 45119
0 6 45281
3 1 45321
0 4 45324
0 5 45447
6 4 45460
2 1 45779
0 6 45864
4 1 45943
0 1 46092
0 6 46232
0 6 46262
5 1 46446
0 2 46475
0 6 46617
2 1 46680
3 2 46684
6 5 46733
2 1 46787
0 1 46792
0 3 46838
0 2 46872
0 1 46970
0 2 47035
4 3 47164
0 6 47167
0 3 47205
0 3 47232
4 2 47277
0 4 47536
4 3 47616
0 2 47666
0 5 47689
0 4 47829
0 5 47841
0 6 47885
0 5 47998
0 6 48215
0 2 48276
2 1 48340
0 5 48636
6 2 48802
0 6 48985
0 2 49026
6 1 49120
0 6 49197
0 1 49348
0 1 49563
0 4 49650
5 2 49661
4 1 49722
0 5 49724
0 5 49843
0 1 49884
2 1 50010
0 6 50125
6 4 50163
0 5 50240
0 2 50292
0 3 50314
5 4 50411
0 1 50450
0 4 50515
0 4 50535
5 4 50607
4 2 50769
0 2 50816
5 3 50961
5 1 50989
3 1 51027
0 3 51087
0 3 51103
0 3 51133
0 4 51202
6 3 51276
0 1 51593
4 3 51752
0 3 51845
0 5 51995
0 4 52089
0 4 52176
2 1 52343
6 1 52497
3 2 52510
0 5 52602
0 1 52857
0 6 52932
0 4 52934
3 2 52945
3 1 53036
5 3 53048
0 2 53114
2 1 53131
3 2 53276
6 1 53291
0 1 53568
0 2 53738
6 2 53883
0 3 53936
0 2 54260
0 4 54308
6 5 54328
0 4 54572
0 5 54599
0 6 54682
0 5 54891
0 6 54963
0 3 55034
4 3 55073
3 1 55129
2 1 55194
0 3 55227
6 4 55325
0 3 55434
0 6 55509
0 3 55514
3 1 55642
3 2 55713
0 4 55756
6 1 55815
0 6 55848
0 6 55914
0 1 55944
0 5 56019
0 3 56024
0 5 56050
0 2 56324
5 1 56503
0 3 56521
6 3 56528
