11 5
5 3 69
4 2 92
10 3 202
8 1 205
6 2 288
0 5 437
10 1 540
10 3 669
5 3 744
7 5 788
0 7 833
10 6 834
9 2 850
9 5 1017
0 5 1098
0 9 1144
9 3 1257
4 2 1297
0 9 1360
0 5 1388
0 2 1417
7 6 1425
7 1 1559
5 2 1626
0 1 1683
5 1 1699
2 1 1712
7 5 1715
3 2 1757
0 10 1818
0 5 1929
0 2 1936
0 6 1974
0 5 1999
9 6 2134
0 10 2248
0 10 2382
0 10 2420
9 7 2682
5 4 2696
0 8 2710
7 6 2778
0 9 2787
0 3 2825
0 4 2843
2 1 3021
9 2 3039
0 5 3125
0 5 3253
5 1 3341
0 5 3343
0 7 3367
0 7 3439
8 1 3497
0 9 3525
8 1 3529
2 1 3543
2 1 3637
0 2 3794
0 4 4126
6 3 4152
2 1 4221
0 4 4317
0 3 4406
8 1 4436
0 7 4481
2 1 4701
0 7 4812
9 8 4822
0 7 4898
0 5 4948
0 9 4974
0 2 4992
0 7 5173
6 1 5226
0 6 5256
5 4 5564
0 8 5647
0 5 5654
0 5 5690
10 9 5761
4 1 5919
0 2 5998
0 9 6028
0 5 6157
0 5 6206
0 1 6229
0 4 6275
8 5 6309
0 7 6383
0 10 6582
0 6 6658
0 5 6715
0 4 6794
5 1 6805
0 9 6840
0 9 6898
7 5 7142
5 2 7230
0 6 7270
0 1 7437
0 2 7486
8 2 7512
0 1 7650
8 3 7705
0 8 7770
0 3 7808
4 1 7810
0 10 7844
3 1 7859
0 6 7975
5 3 7979
0 10 8021
0 5 8052
9 1 8098
0 3 8122
0 10 8295
4 2 8333
0 1 8400
10 3 8413
0 3 8525
0 10 8568
0 1 8692
0 10 9108
0 6 9114
0 2 9150
6 1 9599
2 1 9621
0 9 10066
3 1 10086
0 10 10105
0 3 10243
3 2 10252
10 4 10271
5 4 10316
5 2 10496
0 7 10598
0 10 10684
0 1 10784
4 2 10871
3 2 10960
0 7 10966
7 1 10992
0 5 11088
10 2 11180
7 6 11245
0 4 11256
8 7 11408
6 2 11470
0 8 11597
0 10 11700
0 4 11749
0 6 11757
0 4 11890
3 2 12013
2 1 12045
7 5 12293
0 3 12302
6 2 12428
0 5 12618
9 1 12640
0 1 12814
0 10 12892
7 1 12960
6 3 13164
0 1 13166
5 4 13206
0 7 13313
0 10 13454
0 4 13499
0 5 13617
5 1 13621
10 4 13836
2 1 14009
0 3 14029
0 5 14031
7 5 14163
0 4 14178
0 5 14313
0 8 14445
0 7 14447
10 2 14457
0 5 14575
0 8 14865
0 9 14895
0 10 15044
0 4 15097
0 5 15596
0 7 15620
0 8 15640
0 4 15653
0 7 15793
0 8 15898
9 2 15950
4 2 16064
8 3 16081
6 5 16238
0 8 16271
0 10 16329
0 7 16573
0 9 16814
5 4 16823
0 4 16900
9 6 16931
0 3 16946
0 6 17029
0 2 17052
0 3 17076
0 7 17088
7 5 17150
5 1 17404
0 4 17418
0 7 17514
5 1 17556
0 9 17682
0 8 17787
0 6 17827
0 6 17932
7 3 17936
8 3 18028
4 1 18143
0 7 18482
5 4 18504
10 5 18520
0 9 18642
0 2 18741
0 6 18790
6 3 18793
7 4 18798
5 2 18802
3 1 18974
7 1 19083
5 1 19175
0 8 19226
0 6 19298
7 5 19460
0 9 19482
3 2 19507
0 8 19728
9 4 19752
0 7 19762
8 1 19763
0 3 19887
4 2 19984
0 7 19985
0 2 20211
10 3 20489
4 1 20540
0 1 20585
4 2 20634
0 5 20699
0 4 20857
0 2 20908
0 9 20946
0 6 21117
8 7 21174
3 2 21200
2 1 21234
10 6 21336
0 1 21463
4 3 21538
0 4 21868
0 8 21953
0 9 22097
3 1 22158
0 10 22189
2 1 22302
9 3 22379
4 2 22430
0 5 22476
0 8 22535
6 4 22732
0 4 22814
0 8 22944
3 2 23008
7 1 23010
0 7 23179
10 7 23196
3 2 23201
0 3 23277
0 6 23301
6 1 23305
9 4 23642
0 2 23658
6 2 23668
8 3 23687
0 3 23697
0 4 23744
0 1 23780
0 10 23819
4 3 23845
5 1 23916
0 10 24057
0 10 24058
2 1 24175
0 6 24272
0 9 24276
5 3 24318
0 9 24645
4 2 24709
0 3 24728
8 1 24956
10 4 25002
0 4 25036
6 3 25236
0 10 25260
0 9 25302
0 1 25340
9 4 25556
0 2 25612
5 4 25617
9 1 25743
0 10 25851
9 6 25908
0 6 25956
0 3 25992
8 3 26083
0 1 26201
7 2 26287
4 3 26314
8 2 26485
5 3 26541
6 5 26543
3 1 26549
4 1 26583
7 5 26703
4 3 26745
6 5 27125
6 5 27147
0 9 27311
0 2 27385
0 9 27387
0 7 27423
5 4 27569
3 2 27611
7 3 27672
6 4 27725
5 3 27753
0 4 27897
0 2 27929
0 3 27985
0 8 28061
0 9 28159
10 4 28190
7 1 28233
0 10 28257
0 3 28513
10 3 28559
10 5 28723
2 1 28747
4 2 28754
4 3 28786
0 1 28811
5 2 28826
0 8 28900
0 1 28998
0 1 29524
9 7 29658
0 7 29746
0 3 29812
10 3 29845
0 5 29898
0 4 30041
3 2 30114
0 2 30219
0 7 30222
0 2 30373
6 5 30416
7 1 30456
3 1 30841
0 5 31002
0 9 31073
0 6 31446
7 2 31570
0 1 31639
0 4 31758
5 2 31778
0 9 31915
8 1 31917
0 9 31936
0 10 32006
0 1 32007
0 9 32034
0 9 32087
0 1 32414
0 3 32574
0 8 32645
10 9 32679
9 3 32753
0 1 32862
0 7 32890
3 1 33143
3 2 33164
3 2 33184
0 4 33266
0 10 33392
0 4 33399
0 6 33428
4 1 33504
9 1 33604
0 7 33732
0 7 33788
0 1 34083
0 1 34159
0 10 34379
6 5 34390
9 6 34570
0 8 34787
6 2 34804
5 4 34843
0 3 35037
0 10 35302
0 5 35398
4 2 35421
0 5 35524
4 1 35597
9 1 35620
5 4 35782
4 3 36396
0 6 36439
0 7 36477
7 4 36504
2 1 36529
9 3 36574
9 2 36695
5 2 36719
0 4 37134
0 7 37161
0 8 37226
0 2 37380
0 2 37491
6 5 37535
6 1 37540
0 2 37545
0 5 37553
0 7 37567
0 8 37707
0 10 38101
0 9 38271
4 3 38291
4 2 38356
0 9 38378
0 1 38466
5 4 38556
3 1 38588
0 1 38632
